# Source: handprint.com/HP/WCL/waterfs.html
# KEY TO THE PAINT RATINGS. Summarized as numbers: 
# Tr = Transparency: 0 (very opaque) to 4 (transparent) 
# St = Staining: 0 (nonstaining) to 4 (heavily staining) 
# VR = Value Range: the value of the masstone color subtracted from the value of white paper, in steps of a 100 step value scale
# Gr = Granulation: 0 (liquid texture) to 4 (granular)
# Bl = Blossom: 0 (no blossom) to 4 (strong blossom)
# Df = Diffusion: 0 (inert) to 4 (very active diffusion)
# HA = Hue Angle in degrees of the CIELAB a*b* plane
# HS = Hue Shift as the undertone hue angle minus the masstone hue angle, in degrees of the CIELAB a*b* plane - 
# Lf = Lightfastness: 1 (very fugitive) to 8 (very lightfast) for paint in tint,full strength (1998 test/2004 test)
# PIGMENT(C.I. NAME),PAINT(MARKETING NAME),MANUFACTURER,CODE,Tr,St,VR,Gr,Bl,Df,HA,HS,Lf
PY3,lemon yellow,Utrecht,122,4,2,4,0,3,0,97,+3,5/6
PY3,lemon yellow,Art Spectrum,W12,2,3,4,0,3,2,97,+3,6/5
PY3,lemon yellow,Rowney Artists,651,2,3,8,0,2,1,93,+2,3/7
PY3+PY42,aureolin [hue],Holbein,215,3,1,9,0,4,3,87,+5,7/7
PY34,chrome yellow deep [discontinued],Winsor & Newton,-,2,4,11,0,1,3,79,+7,6/4
PY34:1,chrome lemon yellow [discontinued],Winsor & Newton,-,2,4,8,0,1,2,91,+4,5/4
PY35,cadmium lemon,Winsor & Newton,080,1,4,7,0,1,2,91,0,8/8
PY35,cadmium yellow pale,Winsor & Newton,087,2,4,12,0,2,1,81,+6,8/8
PY35+PO20,cadmium yellow,Winsor & Newton,085,1,4,17,0,2,1,74,+8,8/8
PY35+PR108,cadmium yellow deep,Winsor & Newton,086,2,4,23,0,3,1,67,+12,8/8
PY35,cadmium yellow light,M. Graham,070,1,4,7,0,1,3,90,+3,8/8
PY35,cadmium yellow,M. Graham,060,2,4,13,0,3,2,79,+7,8/8
PY35,cadmium yellow pale,Rowney Artists,611,2,3,7,0,1,1,90,+6,8/7
PY35,cadmium yellow,Rowney Artists,612,2,3,10,0,0,1,85,+8,8/6
PY35,cadmium yellow deep,Rowney Artists,613,2,2,19,0,0,1,68,+12,8/7
PY37,cadmium yellow lemon,Holbein,040,2,2,5,0,0,1,96,+1,8/8
PY37,cadmium yellow pale,Holbein,041,2,2,8,0,1,1,90,+5,8/8
PY37,cadmium yellow light,Holbein,042,2,2,10,0,1,2,83,+4,8/8
PY37+PO20,cadmium yellow deep,Holbein,043,2,2,20,0,2,0,70,+11,8/8
PY35,cadmium yellow lemon,DaVinci,218,1,3,3,0,1,3,99,+3,7/7
PY35,cadmium yellow light,DaVinci,217,2,3,8,0,2,2,88,+6,8/7
PY35,cadmium yellow medium,DaVinci,216,2,3,9,0,2,2,84,+5,8/7
PY35+PO20,cadmium yellow deep,DaVinci,215,2,3,18,0,2,3,72,+10,8/8
PY35,cadmium yellow lemon,Rembrandt,207,2,3,5,0,1,2,93,+3,8/8
PY35,cadmium yellow light,Rembrandt,208,2,3,8,0,1,2,88,+4,8/7
PY35,cadmium yellow medium,Rembrandt,271,1,3,13,0,2,2,80,+2,8/7
PY35+PO20,cadmium yellow deep,Rembrandt,210,1,3,18,0,2,2,70,+5,8/8
PY35,cadmium yellow deep,Lukas,1028,1,3,13,0,2,2,80,+2,8/8
PY35:1,cadmium yellow light [discontinued],Daniel Smith,087,2,4,5,0,2,2,93,+6,8/7
PY35:1,cadmium yellow [discontinued],Daniel Smith,085,2,4,13,0,1,1,80,+6,8/8
PY37:1,cadmium yellow deep [discontinued],Daniel Smith,086,1,4,19,0,3,1,67,+12,8/8
PY35,cadmium yellow lemon,MaimeriBlu,082,1,3,5,0,2,2,95,+4,8/7
PY35,cadmium yellow light,MaimeriBlu,081,2,3,8,0,2,1,91,+6,7/5
PY35,cadmium yellow deep,MaimeriBlu,084,1,4,23,1,2,1,62,+11,8/7
PY37,cadmium yellow light,Utrecht,126,2,2,10,0,2,1,83,+7,8/8
PY37,cadmium yellow deep,Utrecht,128,2,3,25,0,3,1,57,+5,8/8
PY35,cadmium pale,Blockx,311,1,2,5,0,3,3,93,+5,8/8
PY35,cadmium medium,Blockx,315,1,3,13,0,3,1,74,+7,8/8
PY40,aureolin,Rembrandt,242,2,2,18,0,1,2,84,+5,5/7
PY40,aureolin,Rowney Artists,601,2,2,15,0,2,2,87,+5,4/7
PY40,aureolin,Sennelier,559,1,2,12,0,3,2,88,+5,4/6
PY40,aureolin,Art Spectrum,W32,2,2,16,0,1,2,84,+5,4/6
PY40,aureolin,Winsor & Newton,063,4,2,16,1,4,0,85,+9,4/4
PY40,aureolin [cobalt yellow],Daniel Smith,063,3,1,11,0,2,2,86,+8,3/5
PY37+PY42 +PW4,naples yellow [hue],Holbein,230,3,1,13,0,1,2,86,0,7/8
PY37+PY42 +PW4,naples yellow [hue],Blockx,115,2,1,13,0,2,2,73,+8,8/8
PY35+ PR108+PW6,naples yellow [hue],Rowney Artists,634,2,1,14,0,2,1,66,+13,8/8
PR108+ PO20+PW6,jaune brilliant,Holbein,232,1,2,16,0,2,1,54,+9,7/8
PY35+ PR101+PW4,naples yellow [hue] [discontinued],Winsor & Newton,031,2,0,14,0,3,2,75,+9,7/5
PY35+ PR101+PW4,naples yellow [hue],Daniel Smith,105,3,1,28,0,3,2,60,+14,6/5
PY97+PY42 +PW4,naples yellow light [hue],MaimeriBlu,105,2,0,10,0,1,2,89,+7,2/4
PY53,lemon yellow,Winsor & Newton,070,1,4,9,1,0,1,94,+3,8/8
PY53,nickel titanate yellow,Daniel Smith,061,2,1,8,0,1,2,95,+2,8/8
PY53,nickel titanate yellow,Rowney Artists,637,2,2,5,0,1,1,96,+3,8/8
PY53,nickel titanate yellow,MaimeriBlu,109,1,3,6,0,2,2,96,+4,8/8
PY53,nickel titanium yellow [discontinued],Winsor & Newton,224,2,4,14,1,0,1,84,+9,8/6
PY53+PY55,permanent yellow deep,Holbein,123,2,0,16,0,3,1,71,+10,2/4
PY65,winsor yellow deep,Winsor & Newton,214,2,4,16,0,3,1,73,+6,8/8
PY65,hansa yellow deep,Daniel Smith,031,3,4,16,0,4,1,71,+8,7/8
PY65,hansa yellow deep,Utrecht,123,2,0,16,0,3,1,71,+16,7/8
PY83,scheveningen yellow deep,Old Holland,015,2,2,21,0,3,2,70,+8,7/8
PY83+PY95,indian yellow [hue],Holbein,245,2,1,22,0,4,0,73,+12,3/6
PY97,hansa yellow medium,Daniel Smith,039,2,3,10,0,2,2,85,+7,7/7
PY97,transparent yellow [discontinued],Winsor & Newton,219,3,4,9,0,3,1,87,+9,6/7
PY97,primary yellow,MaimeriBlu,116,3,3,8,0,3,4,89,+7,6/7
PY97,arylide yellow FGL,DaVinci,203,3,3,7,0,1,2,88,+4,6/7
PY97+PG36,permanent green yellowish,MaimeriBlu,338,4,2,7,0,3,4,94,+3,7/7
PY108,indian yellow [hue],Daniel Smith,024,3,2,17,1,3,1,68,+19,7/7
PY108,gamboge modern,Schmincke,210,2,3,21,0,4,2,71,+15,7/6
PY110,permanent yellow deep,Daniel Smith,133,3,2,22,0,3,1,60,+7,8/8
PY110,gamboge [hue] [discontinued 2001],M. Graham,105,4,2,18,0,4,3,71,+11,7/8
PY117,greenish yellow,Holbein,046,2,2,30,2,3,3,88,+6,3/6
PY120,scheveningen yellow medium,Old Holland,014,3,3,13,0,1,3,82,+9,3/6
PY129,green gold,Winsor & Newton,217,3,4,30,1,2,2,87,+6,7/8
PY129,green gold,Rowney Artists,373,3,1,35,1,3,0,85,+5,7/8
PY129,golden green,Old Holland,295,3,1,39,1,3,0,82,+9,7/8
PY138,permanent yellow,Rowney Artists,014,3,3,11,0,1,3,87,+9,7/7
PY139,permanent yellow deep,MaimeriBlu,114,3,3,20,0,3,4,68,+5,8/8
PY139+PO49,indian yellow [hue] [discontinued],MaimeriBlu,098,3,3,24,0,2,4,68,+4,8/8
PY150,nickel azo yellow,Daniel Smith,108,3,2,25,1,3,1,66,+20,8/7
PY150,transparent yellow,Winsor & Newton,653,4,3,22,1,4,2,78,+12,./.
PY150,translucent yellow,Schmincke,209,3,2,21,1,2,2,77,+12,7/8
PY150+ PR206+PV19,quinacridone gold [hue],Winsor & Newton,547,3,3,42,2,4,2,62,+30,./.
PY150+PO48,gamboge [hue],Rembrandt,238,3,2,31,1,2,2,72,+17,8/8
PY151,azo yellow (aureolin [hue]),M. Graham,018,3,3,7,0,3,4,89,+7,7/8
PY151,aureolin modern,Schmincke,208,2,4,11,0,3,1,85,+10,7/7
PY153,new gamboge,Winsor & Newton,319,3,4,14,0,2,2,71,+13,8/8
PY153,new gamboge,Daniel Smith,020,3,1,22,0,4,1,66,+16,8/8
PY153,indian yellow [hue],Rowney Artists,643,3,1,24,1,3,1,67,+13,8/8
PY153,indian yellow [hue],Sennelier,517,4,4,16,2,1,2,74,+10,8/8
PY153,indian yellow [hue],Utrecht,129,4,0,17,0,3,2,70,+17,7/8
PY153+PO62,indian yellow [hue],Winsor & Newton,267,2,2,21,0,3,1,66,+16,7/8
PY154,winsor yellow,Winsor & Newton,058,3,4,9,0,1,3,87,+10,8/8
PY154,sennelier yellow light,Sennelier,578,3,3,11,0,0,0,84,+8,8/8
PY154,azo yellow light,Rembrandt,268,3,3,11,0,0,0,83,+9,8/7
PY154+PO43,azo yellow deep,Rembrandt,268,3,3,21,0,0,0,67,+9,7/7
PY154+PO48,indian yellow [hue],Rembrandt,244,3,3,21,0,0,0,73,+15,8/7
PY154+PO62,azo yellow medium,Rembrandt,268,3,3,15,0,0,0,71,+15,8/7
PY159,lemon yellow deep,Winsor & Newton,348,2,1,9,2,1,1,90,+5,./.
PY175,winsor lemon,Winsor & Newton,211,3,4,8,0,1,2,94,+6,7/8
PY175,yellow lemon,MaimeriBlu,112,4,3,5,0,1,4,96,+3,7/8
PY184,bismuth yellow,Winsor & Newton,222,2,4,6,0,1,1,94,+3,8/8
PY184,bismuth yellow,Rowney Artists,629,1,3,6,0,1,1,93,+5,8/8
PY184,vanadium yellow,Schmincke,207,1,3,7,0,1,1,94,+4,7/8
PY184,permanent lemon yellow,Rembrandt,254,1,3,8,0,1,1,93,+5,6/4
PY216,turner's yellow [hue],Winsor & Newton,649,2,2,16,0,3,2,79,+11,./.
PG10,green gold [discontinued],Daniel Smith,037,3,4,33,2,4,3,94,+3,7/7
PG10,australia green gold [discontinued],Art Spectrum,W39,2,4,27,0,1,0,97,+1,7/7
PG7,winsor green BS,Winsor & Newton,209,3,4,53,0,1,1,178,-2,8/8
PG7,phthalocyanine green,M. Graham,150,3,4,64,1,2,2,184,-5,8/8
PG7,phthalo green BS,Daniel Smith,055,3,4,59,0,2,1,179,-2,8/8
PG7,phthalo green,Rembrandt,675,4,3,59,0,3,4,176,-1,8/8
PG7,cupric green deep,MaimeriBlu,324,4,3,52,0,3,4,177,-2,8/8
PG7,phthalo green,DaVinci,268,4,4,62,1,2,2,175,-1,8/8
PG7,blockx green,Blockx,263,4,4,58,1,1,3,175,-3,8/8
PG7,phthalocyanine green,Utrecht,167,4,3,55,0,3,1,174,-3,7/8
PG7,phthalo green,Rowney Artists,361,4,3,50,0,3,1,175,-2,7/8
PG7+PY150,hooker's green deep,Rembrandt,623,2,3,58,0,3,2,161,0,7/8
PG7+PY175 +PW4,winsor emerald [discontinued],Winsor & Newton,054,2,4,27,0,3,2,160,-13,3/6
PG7+PY151,permanent green light,M. Graham,130,2,3,63,0,3,2,160,-7,7/8
PG7+PY3,permanent green light,Utrecht,161,2,3,52,0,4,1,159,-16,7/7
PG7+PY3,permanent green,Daniel Smith,022,2,3,44,0,3,0,158,-13,7/8
PG7+PY175,permanent green deep,MaimeriBlu,340,3,2,43,0,2,4,158,-9,7/8
PG7+PY154,permanent green,Rembrandt,662,2,3,57,0,3,2,157,-7,7/8
PG7+PY3 +PV19,hooker's green [dark],Rowney Artists,354,4,3,36,0,3,1,153,-5,5/6
PG7+PY3,permanent green light,Daniel Smith,047,1,3,35,0,4,2,148,-15,6/7
PG7+PY153,hooker's green [light],Rowney Artists,353,4,3,60,0,3,1,140,-12,4/4
PG7+PO49,hooker's green,MaimeriBlu,325,3,3,60,0,2,3,139,-14,7/8
PG7+PY110,hooker's green,M. Graham,108,1,3,63,0,4,1,139,-5,7/8
PG7+PY3,phthalo yellow green,Daniel Smith,124,2,3,28,0,3,2,135,-18,7/7
PG7+PO62,sap green,M. Graham,174,1,3,61,0,4,1,132,-11,7/8
PG7+PY138,vivid green,Rowney Artists,047,1,3,31,0,4,2,131,-12,7/8
PG7+PY150,sap green,Rembrandt,623,2,3,55,0,3,2,131,-12,7/8
PG7+PY1 +PY42,permanent green,Holbein,266,2,1,33,1,0,1,128,-10,5/6
PG7+PY42,sap green,DaVinci,277,3,3,45,2,1,1,128,-1,7/8
PG7+PY153 +PR101,sap green,Rowney Artists,375,4,3,62,0,3,1,123,-10,7/8
PG7+PO49,sap green,Daniel Smith,043,3,3,51,1,2,0,119,-12,8/8
PG7+PBr7,terre verte,Schmincke,516,4,1,31,1,2,2,107,-2,8/8
PG7+PY150 +PV19,olive green,Rembrandt,620,2,3,48,0,3,2,103,0,7/8
PG7+PY42,olive green,Winsor & Newton,033,4,0,38,1,1,1,99,-4,7/8
PG7+PY153 +PR264,olive green,Rowney Artists,363,4,3,69,0,3,1,95,+3,2/4
PG8,hooker's green,Utrecht,163,3,3,62,1,4,0,141,-11,5/7
PG17,oxide of chromium,Winsor & Newton,072,0,4,53,1,3,1,140,-13,8/8
PG17,olive green,MaimeriBlu,331,0,3,52,0,1,2,138,-16,8/8
PG17,oxide of chromium green,Rowney Artists,367,0,3,52,0,1,2,139,-10,8/8
PG17,chromium oxide green,Rembrandt,668,0,3,51,0,1,2,137,-12,8/8
PG17+PG23,terre verte,Holbein,065,0,2,54,1,2,2,138,-17,8/8
PG18,viridian,M. Graham,195,4,2,39,3,1,1,175,-2,8/8
PG18,viridian,Daniel Smith,077,4,2,38,3,3,2,176,-4,8/8
PG18,viridian,Winsor & Newton,077,3,3,44,2,3,2,176,-4,8/8
PG18,viridian,Rowney Artists,381,4,1,50,3,2,2,175,-2,8/8
PG18,viridian,Rembrandt,616,4,1,40,3,2,2,174,-2,8/8
PG18,viridian,Utrecht,164,4,1,43,2,3,0,174,-1,8/8
PG18,viridian green,DaVinci,290,3,1,53,0,1,2,176,0,8/8
PG18,viridian,MaimeriBlu,348,3,1,36,1,3,2,174,-4,8/8
PG18,viridian,Lukas,1154,4,1,38,2,3,2,175,-8,8/8
PG18,emerald green,Blockx,261,4,1,38,2,3,2,175,-8,8/8
PG18+PG7,viridian,Holbein,260,4,1,33,3,2,2,174,-1,8/8
PG18+PY37,cobalt green,Holbein,268,1,1,36,2,3,1,185,-3,8/8
PG18+PBr7,terre verte,Daniel Smith,048,3,3,46,2,3,3,156,-13,8/8
PG19,cobalt green,Rowney Artists,324,3,1,33,4,0,0,188,-4,8/8
PG19,cobalt green pale,Daniel Smith,049,3,1,34,4,0,0,188,-23,8/8
PG19,cobalt green,Rembrandt,610,3,1,42,4,0,0,188,-11,8/8
PG23,bohemian green earth,Daniel Smith,104,4,0,31,1,2,1,110,-6,8/8
PG23,green earth,Rembrandt,629,2,0,36,2,1,2,128,-5,8/8
PG23,terre verte,Blockx,161,3,2,30,1,2,1,105,-10,7/8
PG23+PG17,terre verte,MaimeriBlu,296,2,0,31,2,1,2,121,-7,8/8
PG23+PG18 +PB28,terre verte,Winsor & Newton,048,2,4,42,3,0,1,155,-16,8/8
PG26,cobalt green deep,Old Holland,267,1,1,57,1,3,0,188,-6,8/8
PG26,cobalt green dark,Schmincke,533,1,4,50,2,1,2,168,-9,8/8
PG36,phthalo green YS,Daniel Smith,054,4,4,48,1,1,2,161,-2,7/8
PG36,cupric green light,MaimeriBlu,322,4,3,49,1,3,4,160,-3,7/8
PG36,bright green,Rembrandt,615,4,3,44,1,3,4,159,0,7/8
PG36,bamboo green,Holbein,278,3,4,41,0,2,3,160,0,7/8
PG36,winsor green YS,Winsor & Newton,210,3,4,44,0,3,2,163,-6,7/7
PG36+PO49 +PY3,hooker's green,Daniel Smith,110,3,3,53,0,3,2,147,-12,7/7
PG36+PO49,hooker's green [discontinued],Winsor & Newton,202,3,4,45,0,2,2,140,-4,7/7
PG36+PY110,hooker's green,Winsor & Newton,311,3,4,49,1,2,3,137,-8,./.
PG36+PY175,permanent green light,MaimeriBlu,339,3,1,26,1,3,4,137,-7,5/6
PG36+PO49,permanent sap green [discontinued],Winsor & Newton,204,3,4,53,0,2,1,130,-6,7/7
PG36+PY110,permanent sap green,Winsor & Newton,503,3,4,56,1,2,3,126,-9,./.
PG36+PO49,sap green,MaimeriBlu,358,3,3,50,2,3,4,118,-7,7/7
PG36+PY17 +PG8,sap green,Holbein,275,3,2,54,1,3,1,117,-8,4/6
PG50,cobalt teal blue,Daniel Smith,078,3,2,28,2,4,1,198,-5,8/8
PG50,colbalt turquoise light,Winsor & Newton,235,2,3,31,1,2,1,198,-4,8/8
PG50,cobalt teal,Utrecht,166,2,0,27,1,0,2,196,-3,8/8
PG50,cobalt green [BS],Winsor & Newton,067,2,4,36,2,1,1,178,-3,8/8
PG50,cobalt green [YS],Daniel Smith,067,2,2,45,2,3,2,156,-9,8/8
PG50,cobalt green deep,MaimeriBlu,317,0,2,48,2,2,1,155,-7,8/8 
PG50,cobalt green YS [discontinued],Winsor & Newton,234,1,3,44,2,3,2,153,-3,8/8
PG50,cobalt green pure,Schmincke,535,1,4,47,2,4,1,152,-9,8/8
PG50,cobalt green YS,Holbein,276,1,3,42,1,2,2,151,-3,8/8
PG50,cobalt green light,MaimeriBlu,316,1,1,33,1,1,2,150,-9,8/8
PB15:1,winsor blue RS,Winsor & Newton,208,3,3,64,0,3,2,274,-20,8/8
PB15:1,phthalo blue RS,Rowney Artists,139,3,4,65,0,3,0,269,-21,8/8
PB15:1,phthalo blue red,Rembrandt,583,4,4,64,0,2,3,273,-21,7/8
PB15:1,phthalo blue,Schmincke,484,4,3,59,0,3,3,252,-15,7/8
PB15:1,berlin blue,MaimeriBlu,359,3,3,60,1,3,2,256,-12,6/8
PB15:6,phthalo blue (red shade),Daniel Smith,119,4,3,66,0,2,0,275,-26,8/8
PB15:6,helio blue RS,Schmincke,478,3,3,63,0,2,0,270,-29,7/8
PB15:3,phthalocyanine blue,M. Graham,140,4,4,67,0,3,2,271,-32,8/8
PB15:3,phthalo blue,Daniel Smith,053,4,4,65,1,2,1,267,-23,8/8
PB15:3,blockx blue,Blockx,254,3,4,65,0,3,0,270,-27,8/8
PB15:3,phthalocyanine blue,Utrecht,154,4,4,52,0,3,3,246,-16,8/8
PB15:3,winsor blue GS,Winsor & Newton,207,4,4,53,0,2,1,249,-18,7/8
PB15:3,phthalo blue green,Rembrandt,576,4,4,56,0,2,3,257,-19,7/8
PB15:3,phthalo blue GS,Rowney Artists,140,3,4,66,0,3,0,259,-21,7/8
PB15:3,phthalo blue,DaVinci,267,4,4,66,0,2,2,270,-30,7/8
PB15:3,primary blue,Lukas,1118,4,4,52,0,3,3,246,-16,7/8
PB15:3,primary blue - cyan,MaimeriBlu,400,4,3,55,0,3,4,250,-16,7/8
PB15:3,manganese blue hue,Winsor & Newton,107,4,1,24,2,2,1,224,-10,6/7
PB15:3+PG7,green blue,MaimeriBlu,409,3,3,63,0,2,3,204,-8,8/8
PB15:3+PG7,transparent turquoise,Rowney Artists,157,3,3,56,0,1,1,229,-16,7/7
PB15:3+PG36,phthalo turquoise,Daniel Smith,064,3,4,64,0,2,1,208,-3,7/8
PB16,turquoise green,MaimeriBlu,350,4,3,61,0,3,3,222,-7,7/8
PB16,phthalo turquoise,Winsor & Newton,526,4,4,71,1,2,2,251,-32,./.
PB16,marine blue,Holbein,302,3,4,66,0,2,2,224,-10,7/7
PB16,caribbean blue,Old Holland,232,3,4,68,1,3,0,227,-11,6/8
PB16,turquoise green,Utrecht,009,3,4,60,0,3,0,224,-7,6/8
PB17,peacock blue [discontinued],Holbein,101,3,3,51,0,2,0,238,-16,7/8
PB27,prussian blue,M. Graham,153,4,3,68,2,2,3,266,-19,8/8
PB27,prussian blue,Daniel Smith,036,2,3,72,2,1,2,274,-31,8/8
PB27,prussian blue,DaVinci,271,3,4,72,2,2,3,270,-20,8/8
PB27,prussian blue,Winsor & Newton,036,4,4,69,0,2,0,266,-25,7/8
PB27,prussian blue,Holbein,097,2,3,70,0,2,2,272,-31,7/8
PB27,prussian blue,Schmincke,492,2,4,70,0,2,1,270,-27,7/8
PB27,paris blue,Lukas,1133,2,4,69,1,3,4,264,-25,7/7
PB27,prussian blue,MaimeriBlu,402,2,4,69,1,3,4,264,-25,6/8
PB27,prussian blue,Rembrandt,508,3,4,68,0,2,3,268,-22,6/7
PB27,prussian blue,Rowney Artists,135,2,4,78,0,1,4,282,-31,6/7
PB27,antwerp blue,Art Spectrum,003,3,3,47,0,1,0,265,-13,4/7
PB27,prussian blue,Utrecht,158,3,4,65,1,3,3,263,-24,4/6
PB27,antwerp blue,Winsor & Newton,003,4,3,49,0,2,1,248,-13,5/6
PB27+PY35,prussian green,Daniel Smith,128,3,4,62,0,3,2,198,-5,6/7
PB28,cobalt blue,Winsor & Newton,070,4,1,44,3,3,2,265,-11,8/8
PB28,cobalt blue,Holbein,290,2,1,54,2,3,2,272,-15,8/8
PB28,cobalt blue deep,MaimeriBlu,374,1,3,57,1,2,2,279,-22,8/8
PB28,cobalt blue,Utrecht,155,3,1,48,1,1,3,272,-11,8/8
PB28,cobalt blue light,Schmincke,487,2,2,52,2,2,2,275,-18,8/8
PB28,cobalt blue,M. Graham,090,1,2,55,1,2,2,275,-12,8/7
PB28,cobalt blue,Daniel Smith,025,3,2,51,1,3,2,274,-13,8/7
PB28,cobalt blue,Rembrandt,511,3,4,57,1,3,1,275,-10,8/7
PB28,cobalt blue,Rowney Artists,109,2,4,53,1,2,1,269,-15,8/7
PB28,cobalt blue light,MaimeriBlu,373,2,2,52,1,3,1,275,-14,8/7
PB28,cobalt blue light,DaVinci,234,1,2,51,1,2,1,274,-15,8/7
PB28+PB15,cyanine blue,Blockx,354,2,2,50,1,2,2,268,-18,8/8
PB29,french ultramarine blue,Winsor & Newton,068,3,1,64,3,3,1,288,-18,8/8
PB29,french ultramarine blue,Rembrandt,503,3,2,64,1,2,1,290,-10,8/8
PB29,ultramarine deep,Rembrandt,506,3,2,67,1,3,1,292,-17,8/8
PB29,ultramarine deep,Holbein,094,4,1,64,4,2,1,292,-18,8/8
PB29,ultramarine deep,Blockx,253,3,2,67,3,4,0,292,-19,8/8
PB29,french ultramarine blue,Utrecht,159,3,2,67,2,2,2,293,-17,8/8
PB29,ultramarine blue,M. Graham,190,1,3,69,1,3,2,294,-15,8/7
PB29,ultramarine blue,Daniel Smith,004,4,3,66,1,3,2,291,-18,8/7
PB29,french ultramarine,Daniel Smith,068,4,3,64,2,3,3,289,-14,8/7
PB29,ultramarine GS,Winsor & Newton,220,3,3,52,2,2,2,279,-15,8/7
PB29,permanent blue,Rowney Artists,137,3,1,58,3,3,1,282,-17,8/7
PB29,french ultramarine blue,Rowney Artists,123,3,1,69,3,3,1,294,-20,8/7
PB29,ultramarine light,MaimeriBlu,391,3,2,63,2,2,2,289,-20,8/7
PB29,ultramarine deep,MaimeriBlu,392,1,3,71,3,2,1,296,-21,8/7
PB29,ultramarine blue,Utrecht,151,4,3,58,2,2,0,282,-27,8/7
PB29,ultramarine deep,Sennelier,315,1,3,66,1,3,1,292,-18,8/7
PB29,ultramarine finest,Schmincke,494,2,2,63,1,1,1,285,-18,8/7
PB29,ultramarine blue,DaVinci,284,3,2,67,1,1,2,294,-25,8/7
PB33,manganese blue [discontinued],Holbein,100,2,1,43,4,0,1,237,-11,8/8
PB33,manganese blue [discontinued],Blockx,250,1,1,42,4,0,1,234,-8,8/8
PB33,manganese blue,Lukas,1119,2,2,35,2,0,0,234,-9,8/8
PB33,manganese blue,Old Holland,041,2,2,41,4,0,0,232,-9,8/6
PB35,cerulean blue,Rembrandt,012,1,2,48,1,3,1,247,-10,8/8
PB35,cerulean blue,Utrecht,012,3,1,51,1,3,0,251,-11,8/8
PB35,cerulean blue,Holbein,092,1,0,46,3,3,1,253,-15,8/7
PB35,cerulean blue,Winsor & Newton,065,2,2,44,2,1,1,235,-22,8/7
PB35,cerulean blue RS,Winsor & Newton,140,2,1,48,3,3,2,252,-15,./.
PB35,coeruleum,Rowney Artists,111,2,3,40,2,1,2,248,-13,8/7
PB36,cerulean blue,Daniel Smith,003,3,3,51,1,3,4,242,-6,8/8
PB36,cerulean blue GS,Daniel Smith,065,3,3,50,1,3,4,220,-6,8/8
PB36,cobalt turquoise,Winsor & Newton,078,3,3,46,1,1,1,204,-4,8/8
PB36,genuine cerulean blue,DaVinci,229,0,2,48,2,2,1,252,-4,8/8
PB36,cobalt turquoise RS,Rowney Artists,155,1,4,62,1,2,1,248,-14,8/8
PB36,cerulean blue,M. Graham,080,1,2,46,2,3,1,253,-7,8/7
PB36,cerulean blue,MaimeriBlu,368,1,2,54,2,1,2,251,-7,8/7
PB36,cerulean blue chromium,Utrecht,157,3,1,41,2,1,1,245,-11,8/7
PB36,cobalt turquoise GS,Rowney Artists,156,1,3,57,1,2,2,236,-11,8/7
PB36,cobalt green deep,Rowney Artists,325,1,3,51,1,3,1,201,-9,8/7
PB36,cobalt turquoise,Daniel Smith,027,3,3,48,1,4,2,196,-3,7/8
PB36,cobalt turquoise,DaVinci,238,2,2,38,1,2,2,203,-2,8/8
PB60,indanthrone blue,Daniel Smith,018,2,4,74,0,3,1,298,-28,8/8
PB60,indanthrene blue,Winsor & Newton,223,3,4,75,1,2,1,286,-20,8/8
PB60,indanthrene blue,Rembrandt,585,2,4,69,1,2,4,291,-20,8/8
PB60,old delft blue,Old Holland,220,1,3,72,0,3,0,287,-20,8/8
PB60,faience blue,MaimeriBlu,377,2,4,70,1,2,4,288,-30,7/8
PB60,royal blue,Holbein,303,2,3,76,1,3,2,298,-28,7/8
PB60,indanthrene blue,Rowney Artists,107,3,4,74,1,2,1,286,-23,6/7
PB60,delft blue,Schmincke,482,2,4,73,0,3,4,295,-33,6/7
PB60,dark blue indigo,Schmincke,498,3,2,67,1,1,1,277,-14,6/7
PB72,cobalt blue deep,Rowney Artists,116,1,4,54,2,4,1,276,-9,8/7
PB73,cobalt blue deep,Winsor & Newton,233,2,2,58,2,2,1,286,-20,8/8
PB74,cobalt blue deep,Schmincke,488,2,0,61,3,3,1,286,-13,8/8
PB74,cobalt blue deep,Old Holland,038,2,2,64,2,2,2,284,-15,8/8
PB60+PBk6,indigo,Daniel Smith,025,1,4,75,0,2,0,288,-25,8/8
PB15+PV19 +PBk6,indigo,Winsor & Newton,322,1,4,70,1,2,0,274,-25,7/8
PB15+PBk7,indigo,Rowney Artists,127,2,4,70,1,3,4,274,-30,7/7
PB27+PBk7,indigo,MaimeriBlu,422,3,3,69,1,3,4,209,-41,7/7
PV1+PV39,red violet [discontinued],Sennelier,905,1,3,69,0,3,0,320,+6,3/3
PV1+PV10 +PV14+PB15,mauve [discontinued],Winsor & Newton,-,1,4,70,0,2,3,311,+8,4/5
PV7+PV15,bright violet,Holbein,375,3,2,63,1,3,0,329,,-3,2/3
PV14,cobalt violet,Winsor & Newton,192,2,0,40,4,2,2,328,-19,8/8
PV14,cobalt magenta,Rowney Artists,417,2,0,44,3,3,1,332,+12,8/8
PV14,cobalt violet,Blockx,331,2,0,39,4,0,0,333,+10,8/8
PV14,cobalt violet,Rembrandt,539,4,0,48,3,2,1,318,+8,8/8
PV14,cobalt violet deep,Daniel Smith,030,4,0,53,3,3,2,318,-6,8/8
